feature,importance
pace_vs_field,0.29338595
constructor_rolling_points,0.07678658
num_pit_stops,0.050243553
laps_completed_actual,0.045351632
grid,0.04289013
pit_stops_vs_field,0.04074924
quali_gap_to_pole,0.024685424
quali_gap_pct,0.023965174
season_cumulative_points,0.023407727
avg_lap_time,0.0199669
rolling_avg_points_5,0.018749189
q3_seconds,0.014902568
best_lap_pct,0.014427513
circuit_id_enc,0.013747741
season,0.013271802
prev_season_wins,0.013156077
max_tyre_life,0.01297002
q1_seconds,0.0124130575
q2_seconds,0.011553106
best_quali_seconds,0.011429376
best_lap_time,0.011224686
avg_tire_deg_slope,0.011210288
rolling_avg_position_5,0.010873535
prev_season_position,0.010293543
max_tire_deg_slope,0.0099633
pit_strategy_aggressive,0.0097105475
num_stints,0.0095440475
lap_consistency,0.009487049
driver_id_enc,0.009308031
rolling_dnf_rate_5,0.009106586
min_tire_deg_slope,0.008843222
race_name_enc,0.008408399
stint_count_tire,0.008246021
driver_consistency_5,0.0080472855
round,0.008043894
is_prev_top5,0.007952426
constructor_id_enc,0.007741177
prev_season_points,0.007611969
driver_name_enc,0.007151986
driver_avg_deg_5,0.00705242
driver_code_enc,0.006509911
circuit_avg_position,0.006468146
rolling_consistency,0.0060919705
circuit_name_enc,0.005983997
constructor_name_enc,0.0058361655
rolling_positions_gained_5,0.005738576
circuit_races_count,0.005498119
is_prev_top3,0.0
is_prev_champion,0.0
